,close,open,high,low
2004-05-24 23:00:00,1.2107,1.2107,1.2107,1.2107
2004-05-25 23:00:00,1.2107,1.2107,1.2107,1.2107
2004-05-26 23:00:00,1.2263,1.2263,1.2263,1.2263
2004-05-27 23:00:00,1.2221,1.2221,1.2221,1.2221
2004-05-29 23:00:00,1.2243,1.2243,1.2243,1.2243
2004-05-30 23:00:00,1.21875,1.21875,1.21875,1.21875
2004-05-31 23:00:00,1.2247,1.2247,1.2247,1.2247
2004-06-01 23:00:00,1.2215,1.2215,1.2215,1.2215
2004-06-02 23:00:00,1.2227,1.2227,1.2227,1.2227
2004-06-03 23:00:00,1.228,1.228,1.228,1.228
2004-06-05 23:00:00,1.2295,1.2295,1.2295,1.2295
2004-06-06 23:00:00,1.2321,1.2321,1.2321,1.2321
2004-06-07 23:00:00,1.227,1.227,1.227,1.227
2004-06-08 23:00:00,1.2049,1.2049,1.2049,1.2049
2004-06-09 23:00:00,1.2105,1.2105,1.2105,1.2105
2004-06-10 23:00:00,1.2005,1.2005,1.2005,1.2005
2004-06-12 23:00:00,1.2005,1.2005,1.2005,1.2005
2004-06-13 23:00:00,1.2059,1.2059,1.2059,1.2059
2004-06-14 23:00:00,1.2162,1.2162,1.2162,1.2162
2004-06-15 23:00:00,1.2012,1.2012,1.2012,1.2012
2004-06-16 23:00:00,1.2052,1.2052,1.2052,1.2052
2004-06-17 23:00:00,1.2137,1.2137,1.2137,1.2137
2004-06-19 23:00:00,1.214,1.214,1.214,1.214
2004-06-20 23:00:00,1.2114,1.2114,1.2114,1.2114
2004-06-21 23:00:00,1.2106,1.2106,1.2106,1.2106
2004-06-22 23:00:00,1.2093,1.2093,1.2093,1.2093
2004-06-23 23:00:00,1.217,1.217,1.217,1.217
2004-06-24 23:00:00,1.2177,1.2177,1.2177,1.2177
2004-06-26 23:00:00,1.2172,1.2172,1.2172,1.2172
2004-06-27 23:00:00,1.2185,1.2185,1.2185,1.2185
2004-06-28 23:00:00,1.2081,1.2081,1.2081,1.2081
2004-06-29 23:00:00,1.2199,1.2199,1.2199,1.2199
2004-06-30 23:00:00,1.21605,1.21605,1.21605,1.21605
2004-07-01 23:00:00,1.2316,1.2316,1.2316,1.2316
2004-07-03 23:00:00,1.23235,1.23235,1.23235,1.23235
2004-07-04 23:00:00,1.229,1.229,1.229,1.229
2004-07-05 23:00:00,1.2283,1.2283,1.2283,1.2283
2004-07-06 23:00:00,1.2373,1.2373,1.2373,1.2373
2004-07-07 23:00:00,1.2385,1.2385,1.2385,1.2385
2004-07-08 23:00:00,1.24135,1.24135,1.24135,1.24135
2004-07-10 23:00:00,1.24165,1.24165,1.24165,1.24165
2004-07-11 23:00:00,1.2408,1.2408,1.2408,1.2408
2004-07-12 23:00:00,1.2327,1.2327,1.2327,1.2327
2004-07-13 23:00:00,1.23807,1.23807,1.23807,1.23807
2004-07-14 23:00:00,1.2354,1.2354,1.2354,1.2354
2004-07-15 23:00:00,1.2451,1.2451,1.2451,1.2451
2004-07-17 23:00:00,1.24415,1.24415,1.24415,1.24415
2004-07-18 23:00:00,1.2443,1.2443,1.2443,1.2443
2004-07-19 23:00:00,1.233,1.233,1.233,1.233
2004-07-20 23:00:00,1.22598,1.22598,1.22598,1.22598
2004-07-21 23:00:00,1.22575,1.22575,1.22575,1.22575
2004-07-22 23:00:00,1.209,1.209,1.209,1.209
2004-07-24 23:00:00,1.2104,1.2104,1.2104,1.2104
2004-07-25 23:00:00,1.2142,1.2142,1.2142,1.2142
2004-07-26 23:00:00,1.20575,1.20575,1.20575,1.20575
2004-07-27 23:00:00,1.20559,1.20559,1.20559,1.20559
2004-07-28 23:00:00,1.2046,1.2046,1.2046,1.2046
2004-07-29 23:00:00,1.20195,1.20195,1.20195,1.20195
2004-07-31 23:00:00,1.2051,1.2051,1.2051,1.2051
2004-08-01 23:00:00,1.20262,1.20262,1.20262,1.20262
2004-08-02 23:00:00,1.2061,1.2061,1.2061,1.2061
2004-08-03 23:00:00,1.20515,1.20515,1.20515,1.20515
2004-08-04 23:00:00,1.2053,1.2053,1.2053,1.2053
